query_id,corpus_id,rank
A0A482D308,P0DW62,1
A0A482D308,A0A2U3D0N8,2
A0A482D308,A5D369,3
A0A482D308,Q55794,4
A0A482D308,B1GZT3,5
A0A482D308,B1ZUW6,6
A0A482D308,Q7MAH6,7
A0A482D308,P59057,8
A0A482D308,B1I544,9
A0A482D308,O83409,10
A0A482D308,Q639M6,11
A3MTK6,A0Q5Y6,1
A3MTK6,Q2RRV2,2
A3MTK6,Q8KC74,3
A3MTK6,Q2GED3,4
A3MTK6,A8EXM2,5
D4GTL3,Q9KSC2,1
D4GTL3,P0A9G6,2
D4GTL3,O50078,3
D4GTL3,P46831,4
D4GTL3,O51291,5
D4GTL3,A5IDI1,6
D4GTL3,Q2LUC0,7
D4GTL3,B2KC76,8
D4GTL3,P59806,9
D4GTL3,A6LU50,10
D4GTL3,Q8ESU5,11
D4GTL3,Q8R806,12
D4GTL3,Q8RET9,13
D4GTL3,Q7VGJ2,14
D4GTL3,B3EUM2,15
D4GTL3,P37143,16
D4GTL3,B5Y8B7,17
D4GTL3,A3CP10,18
D4GTL3,A3DDV7,19
D4GTL3,A0Q5Q7,20
D4GYE0,P0AB72,1
D4GYE0,Q55664,2
D4GYE0,O68249,3
D4GYE0,O83639,4
D4GYE0,P0A9L8,5
D4GYE0,C4Z1Z8,6
D4GYE0,A9WT63,7
D4GYE0,A5IHM9,8
D4GYE0,Q38ZL9,9
D4GYE0,Q7VF98,10
D4GYE0,A6V7X3,11
D4GYE0,Q8EST0,12
D4GYE0,A0L4J3,13
D4GYE0,A9BHQ6,14
D4GYZ1,A1TAP4,1
D4GYZ1,C7R403,2
D4GYZ1,A6W970,3
D4GYZ1,P30539,4
D4GYZ1,Q0BW99,5
D4GYZ1,O84340,6
D4GYZ1,C0ZKI1,7
D4GYZ1,Q136H9,8
D4GYZ1,Q9X5M1,9
D4GYZ1,C5BMG6,10
D4GYZ1,B8FBE8,11
G4RK16,Q9KH71,1
G4RK16,O08333,2
G4RK16,Q9WYC5,3
G4RK16,Q609I3,4
G4RK16,Q2RNU4,5
G4RK16,G4STG9,6
G4RK16,O83553,7
G4RK16,Q4A7J2,8
G4RK16,B7J4J4,9
G4RK16,A9BHP7,10
G4RK16,Q212N0,11
O08467,P45627,1
O08467,A0R083,2
O08467,B3ELN3,3
O08467,C1F652,4
O08467,Q4FQ66,5
O08467,A1BCW2,6
O08467,Q73MG1,7
O28126,B1YH83,1
O28126,Q04T19,2
O28126,A1VF73,3
O28126,B0SGV6,4
O28126,Q9KF46,5
O28126,Q73RJ6,6
O28126,Q1RGU4,7
O28126,A4J1M3,8
