query_id,corpus_id,rank
E2RU81,O83553,1
E2RU81,Q9WYC5,2
E2RU81,Q9KH71,3
E2RU81,Q2RNU4,4
E2RU81,Q609I3,5
E2RU81,P55356,6
E2RU81,A0RDG3,7
E2RU81,B2HCT7,8
E2RU81,Q2RHN8,9
E2RU81,B3QQ83,10
E2RU81,A1A1G3,11
H2N0D4,Q04449,1
H2N0D4,A5CD03,2
H2N0D4,P74299,3
H2N0D4,Q9WY51,4
H2N0D4,A1R0Q9,5
O43280,B9E8D6,1
O43280,B9KHM7,2
O43280,Q1LSM8,3
O62619,Q46289,1
O62619,P34038,2
O62619,B0B7Q0,3
O62619,Q07637,4
O62619,Q9WY51,5
O62619,Q44473,6
O62619,Q46078,7
O62619,O51323,8
O62619,O05118,9
O62619,Q8K9M3,10
O62619,P78031,11
O62619,Q20Y76,12
O62619,Q7V493,13
O62619,A3DH61,14
O62619,B0B887,15
O62619,Q2GAI7,16
O62619,A5UC84,17
O62619,Q1D774,18
O62619,Q04C04,19
O94584,P39823,1
O94584,Q48269,2
O94584,Q9ZBM2,3
O94584,Q7VIY7,4
P00334,Q8RHB4,1
P00334,B1AIH2,2
P00334,Q8R687,3
P00334,A8MEH2,4
P00334,P06516,5
P04385,B4F0A6,1
P04385,A5UZX0,2
P04385,B7IDE2,3
P04385,Q9KDV4,4
P04385,P39574,5
P04385,Q896X8,6
P04385,P13227,7
P04385,A1KG98,8
P04385,Q9R7D7,9
P04385,Q891L4,10
P04385,A5IJN0,11
P04385,Q9ADB2,12
P04385,Q8R711,13
P04385,Q8P8J6,14
P04385,Q5HPL2,15
P04385,Q7MNR4,16
P04385,B1HYT4,17
P04385,B9LZV4,18
P04385,A8FH24,19
P04385,Q6A8B2,20
P04385,B8FU92,21
P04385,A4XI71,22
P04385,A6TKS7,23
P04385,Q0AXC8,24
P04385,Q7V1J8,25
P04385,Q0AIJ4,26
P04385,P23989,27
P04385,Q5P9M8,28
P04385,Q2GE74,29
P04385,Q9RY06,30
P04385,A1SVJ9,31
P06208,A6VSA9,1
P06208,B7GT76,2
P06208,E3PVH7,3
P06208,Q7TVV6,4
P06208,D8J0Q1,5
P06208,Q0VLR3,6
P06208,A8FAK7,7
P06208,Q7UI51,8
P06208,C6DEV8,9
P06208,A7Z7B8,10
P06208,C4XPA8,11
P06208,D5HB86,12
P06208,Q5F8D4,13
P06208,Q1QJV3,14
P06208,D3EBC1,15
P06208,B2FT78,16
P06208,E1R5X1,17
P06208,D3HCJ2,18
P06208,A2BRP4,19
P06208,B3DQN7,20
P06208,Q30TV3,21
P06208,A0M6C4,22
P06208,Q6MMJ1,23
P06208,A5IJN0,24
P06208,A1BF00,25
P06208,P56145,26
P07741,Q7W3L2,1
P07741,O31060,2
P07741,Q5FSN7,3
P07741,Q049X1,4
P07741,Q1AW34,5
P07741,Q11TJ3,6
P07741,B3DXQ2,7
P07741,Q4JVE4,8
P07741,Q6KI92,9
P07741,B0RS13,10
P07741,Q7UR74,11
P07741,Q20Y76,12
P07741,B2A0H0,13
P07741,A8GAU8,14
P07741,A6LP26,15
P07741,Q7NBS4,16
P07741,A4X5X7,17
P07741,P47202,18
P07741,Q7VGF2,19
P07741,A5EVW7,20
P07741,A9GFF3,21
P07741,Q0RNU1,22
P07741,A5GSL0,23
P07741,A1A1K5,24
P07741,A8ESP0,25
P07741,Q5LIY6,26
P07741,B2S4S6,27
P07741,A3PE89,28
P07741,A4SX83,29
P07741,Q6MPK7,30
P07741,P47518,31
P07741,A1UZL8,32
P07741,B5Y8Y0,33
P07741,A1KLT2,34
P07741,Q31JG9,35
P07741,Q2SRZ3,36
P07741,B7J0M3,37
P07741,A2C2A5,38
P07741,Q4FLB9,39
P07741,A5D3H8,40
P07741,P25972,41
P07741,A6KYP1,42
P07741,Q45918,43
P07741,A3PH80,44
P07741,A5VD53,45
P07741,A9GUD3,46
P07741,B3QC92,47
P07741,B0K2E4,48
P07741,A4SGU2,49
P07741,Q0C3U2,50
P07991,Q8EP32,1
P07991,Q7VSA0,2
P07991,Q9X0Y2,3
P07991,Q31I05,4
P07991,Q1GTS7,5
P07991,A8EUZ4,6
P07991,C5CB93,7
P07991,B6YRK7,8
P13663,P41394,1
P13663,P10539,2
P13663,P49420,3
P13663,O31219,4
P13663,P41404,5
P13663,O25801,6
P13663,Q92IJ0,7
P13663,Q2S2B6,8
P13663,B9MKC6,9
P13663,Q8Y0A1,10
P13663,B1ZZ40,11
P13663,Q049X1,12
P13663,Q03WZ9,13
P14148,P71505,1
P14148,A1WY69,2
P14148,Q8Y0A1,3
P14148,Q5FUA2,4
P14148,Q5LP30,5
P15007,Q7NAY0,1
P15007,Q2GD37,2
P15007,Q88VW2,3
P15007,B1AIH2,4
P15007,Q7VQH3,5
P15007,Q2GGS6,6
P15007,Q24YW4,7
P15007,A6VDH2,8
P15007,Q1J0A0,9
P15007,A6TQZ4,10
P15007,A7H716,11
P15007,Q7VHV4,12
P15007,Q1AU93,13
P15007,P61698,14
P15007,Q6KID2,15
P15007,A5CU93,16
P15007,Q8EUW7,17
P15624,Q0SMZ4,1
P15624,B2S1W3,2
P15624,Q8R9C7,3
P15624,Q6MEA6,4
P15624,Q3ABT5,5
P15624,Q97GL0,6
P15624,Q5WEJ6,7
P15624,Q720K7,8
P15624,Q6A7V6,9
P15624,Q83C15,10
P15624,Q5HUR2,11
P15624,Q3A4N8,12
P15624,Q8KEF9,13
P15624,Q9RRX5,14
P15624,Q6ANC2,15
P15624,Q6AGD6,16
P15624,Q2LR26,17
P15624,Q2RHN8,18
P15624,Q7VK65,19
P15624,Q7NCQ2,20
P15624,Q2RYT3,21
P15624,Q8G5E8,22
P15624,O88054,23
P15624,Q2GAI7,24
P15624,Q3Z9I7,25
P15624,Q2JHU3,26
P15624,Q72MG8,27
P15624,Q9WZS9,28
P15624,Q5GSH5,29
P15624,Q836J5,30
P15624,Q5NG54,31
P15624,Q8EPH5,32
P15624,Q5FIY7,33
P15624,Q30Y16,34
P15624,Q5FFS3,35
P15624,Q2YBS1,36
P15624,Q472N3,37
P15624,Q4JW05,38
P15624,Q01SP7,39
P15624,Q4FNH4,40
P15624,Q3JBZ7,41
P15624,Q2P100,42
P15624,P27002,43
P15624,Q68WW1,44
P15624,Q2IJB3,45
P15624,Q31F19,46
P15624,Q5WT87,47
P15624,Q30S83,48
P15624,Q8RHB5,49
P15624,Q7VR66,50
P15625,P94282,1
P15625,B2S4L0,2
P15625,P27001,3
P15625,Q319M1,4
P15625,Q68WW2,5
P15625,Q3APW3,6
P15625,Q7UP75,7
P15625,A9BFH2,8
P15625,B9E766,9
P15625,Q47N75,10
P15625,Q6MDC0,11
P15625,C4ZBJ4,12
P15625,B0SBK8,13
P15625,Q1D6E0,14
P15625,B1VA93,15
P15625,Q2SSA0,16
P15625,Q8RHB4,17
P15625,Q5PBV2,18
P15625,B7GTP9,19
P15625,Q6MMJ2,20
P15625,Q4FQ65,21
P15625,A6L2I3,22
P15625,Q7VR67,23
P15625,Q8D3B6,24
P15625,Q7W7C7,25
P15625,A9GN91,26
P15625,A5VT73,27
P15625,C1A492,28
P15625,C5CUU6,29
P15625,O84843,30
P15625,Q8EUJ8,31
P15625,A5US42,32
P15625,Q7NBB8,33
P15625,Q7VK64,34
P15625,Q83GS9,35
P15625,P47436,36
P15625,B1AJ99,37
P15625,B9MPF7,38
P15625,A8MGM7,39
P15625,O67258,40
P15625,Q67LN9,41
P15625,B5YHK1,42
P15625,Q6YPY6,43
P15625,P57512,44
P15625,B9KHM7,45
P15625,B1AI47,46
P15625,Q9RXE1,47
P15625,C1CV35,48
P15625,Q9Z6X5,49
P15625,B2RJY1,50
P16163,D0VWQ1,1
P16163,Q9PMD4,2
P16163,Q03QI3,3
P16163,Q3APW3,4
P25615,B5Y6I0,1
P25615,A6H0Y3,2
P25615,Q7VBX6,3
P25615,Q5N4L8,4
P25615,B4S0H7,5
P25615,O66540,6
P25615,Q0BWJ4,7
P25615,Q7UFH9,8
P27616,C4Z3J8,1
P27616,A1K9I4,2
P27616,Q47KH4,3
P27616,B2KCE9,4
P27616,Q7UJ19,5
P27616,Q72UH8,6
P27616,Q83GX1,7
P27616,B6YRK7,8
P27616,Q5WW20,9
P27616,Q9KSR6,10
P27616,O67881,11
P27616,P73471,12
P27616,A7I1M0,13
P27616,Q83CA8,14
