query_id,corpus_id,rank
A0A482D308,A0A2U3D0N8,1
A0A482D308,P0DW62,2
A0A482D308,A5CCJ6,3
A0A482D308,B3CN42,4
A0A482D308,A1A085,5
A0A482D308,Q4A8I7,6
A0A482D308,B1VAD2,7
A0A482D308,B1AIN6,8
A0A482D308,A4XLR4,9
A0A482D308,B0B887,10
A0A482D308,Q4FLN4,11
A0A482D308,A7IPQ4,12
A0A482D308,Q1MPP9,13
A0A482D308,B2S2F2,14
A0A482D308,A4SCS5,15
A0A482D308,A2BTC2,16
A0A482D308,Q7UN04,17
A0A482D308,B9KJ54,18
A0A482D308,Q820Q8,19
A0A482D308,Q6ME48,20
A0A482D308,A5IHP8,21
A0A482D308,B0U5L5,22
A0A482D308,Q2LQC1,23
A0A482D308,P47413,24
A0A482D308,P56043,25
A0A482D308,Q2GEB7,26
A0A482D308,A1QZT0,27
A0A482D308,Q98PZ8,28
A0A482D308,Q04PV4,29
A0A482D308,B8D833,30
A0A482D308,Q16AC8,31
A0A482D308,Q5L8D4,32
A0A482D308,B3CN48,33
A0A482D308,Q2SR32,34
A0A482D308,B7KCF5,35
A0A482D308,A9KFP4,36
A0A482D308,B8ICE5,37
A0A482D308,P75107,38
A0A482D308,B2HCT7,39
A0A482D308,B8ELG9,40
A0A482D308,Q05FK3,41
A0A482D308,Q2S1G4,42
A0A482D308,Q5FUG4,43
A0A482D308,Q6MRK1,44
A0A482D308,A8ETK4,45
A0A482D308,Q4FM02,46
A0A482D308,Q211V0,47
A0A482D308,B0B8V5,48
A0A482D308,P47422,49
A0A482D308,A6L2I3,50
A3MTK6,A0Q5Y6,1
A3MTK6,B2A8L6,2
A3MTK6,O66469,3
A3MTK6,B1MLW9,4
A3MTK6,B8I298,5
A3MTK6,A7FM16,6
A3MTK6,A1WWG6,7
A3MTK6,A6TR01,8
A3MTK6,A9VZP1,9
A3MTK6,A4J7I8,10
A3MTK6,Q3AAC8,11
A3MTK6,Q48N77,12
A3MTK6,B0C250,13
A3MTK6,A6W2V7,14
A3MTK6,A8LKM4,15
A3MTK6,A5IJK9,16
A3MTK6,Q5QVQ8,17
A3MTK6,A6LL86,18
A3MTK6,Q2RRV2,19
A3MTK6,Q4FLK0,20
A3MTK6,B3DTU8,21
A3MTK6,B3W9M6,22
A3MTK6,Q6AS42,23
A3MTK6,Q1QT05,24
A3MTK6,Q0VSQ3,25
A3MTK6,A2CCJ9,26
A3MTK6,B5EQ42,27
A3MTK6,A0LQP0,28
A3MTK6,Q3J8V9,29
A3MTK6,Q5WHX3,30
A3MTK6,A8MKA7,31
A3MTK6,A8G079,32
A3MTK6,Q9KE16,33
A3MTK6,A3DJP1,34
A3MTK6,Q2RLC7,35
A3MTK6,B9JEJ1,36
A3MTK6,P58430,37
A3MTK6,A5HXT1,38
A3MTK6,B8H0Z4,39
A3MTK6,Q2RWF6,40
A3MTK6,B8G503,41
A3MTK6,B4RYN2,42
A3MTK6,Q67QV9,43
A3MTK6,P61662,44
A3MTK6,Q1MPZ3,45
A3MTK6,Q04W02,46
A3MTK6,P47496,47
A3MTK6,O67037,48
A3MTK6,Q2SRE1,49
A3MTK6,O67226,50
D4GTL3,Q9KSC2,1
D4GTL3,Q1IHA5,2
D4GTL3,A6TMH9,3
D4GTL3,A3DDV7,4
D4GTL3,Q7UM39,5
D4GTL3,Q6NEB7,6
D4GTL3,Q9RR81,7
D4GTL3,Q15NV5,8
D4GTL3,B4UDZ3,9
D4GTL3,A1VBJ4,10
D4GTL3,Q2G6P1,11
D4GTL3,A5WHD0,12
D4GTL3,B0SAC5,13
D4GTL3,B5ES07,14
