query_id,corpus_id,rank
E2RU81,O83553,1
E2RU81,Q9WYC5,2
E2RU81,Q2RNU4,3
E2RU81,Q609I3,4
E2RU81,Q9KH71,5
E2RU81,P29363,6
E2RU81,P23669,7
E2RU81,Q89AR5,8
E2RU81,O24924,9
E2RU81,P33197,10
E2RU81,Q1RJU4,11
E2RU81,P74193,12
E2RU81,A5FNH3,13
E2RU81,P0DJF8,14
E2RU81,O67480,15
E2RU81,Q7VDN6,16
E2RU81,Q3MCG0,17
E2RU81,Q9ZH99,18
E2RU81,Q6MCT6,19
E2RU81,P80046,20
E2RU81,Q2RXH9,21
E2RU81,B8D7Y8,22
E2RU81,Q1IWN0,23
E2RU81,Q8ELL1,24
E2RU81,Q1MS15,25
E2RU81,O84737,26
E2RU81,Q73PV9,27
E2RU81,Q9WZ28,28
E2RU81,A1AWF3,29
E2RU81,B3DQ31,30
E2RU81,B1MYJ5,31
E2RU81,P21631,32
E2RU81,B9K7K0,33
E2RU81,P61720,34
E2RU81,P37143,35
E2RU81,P75050,36
E2RU81,Q17VI1,37
E2RU81,Q49WY3,38
E2RU81,A9KC67,39
E2RU81,Q7UGV1,40
E2RU81,Q8EUV2,41
E2RU81,A0RQJ7,42
E2RU81,Q7VRI2,43
E2RU81,Q04R57,44
E2RU81,Q28LT2,45
E2RU81,A5VRM1,46
E2RU81,Q8RBK1,47
E2RU81,B2FNL3,48
E2RU81,Q7UGJ6,49
E2RU81,Q1D349,50
H2N0D4,P43473,1
H2N0D4,P48982,2
H2N0D4,C7ASJ5,3
H2N0D4,O52847,4
H2N0D4,Q59140,5
H2N0D4,Q56307,6
H2N0D4,Q59750,7
H2N0D4,O33815,8
H2N0D4,P23989,9
H2N0D4,P70753,10
H2N0D4,Q03WL0,11
H2N0D4,P26257,12
H2N0D4,Q9K9C6,13
H2N0D4,A7FH78,14
H2N0D4,O69315,15
H2N0D4,A7MN76,16
H2N0D4,B4S2K9,17
H2N0D4,Q1G9Z4,18
H2N0D4,P77989,19
H2N0D4,P53001,20
H2N0D4,Q60013,21
H2N0D4,Q9X0Y2,22
H2N0D4,Q2RL44,23
H2N0D4,B7GHJ8,24
H2N0D4,A8MEH2,25
H2N0D4,B2GBR8,26
H2N0D4,O69689,27
H2N0D4,Q6AQK2,28
H2N0D4,Q03VY3,29
H2N0D4,A0AK37,30
H2N0D4,P60998,31
H2N0D4,A1A2H6,32
H2N0D4,Q311Z4,33
H2N0D4,A4TKK4,34
H2N0D4,B0TY45,35
H2N0D4,Q47XB7,36
H2N0D4,B9DK21,37
H2N0D4,Q1AY33,38
H2N0D4,A7HCR6,39
H2N0D4,Q67KI2,40
H2N0D4,Q7VIJ3,41
H2N0D4,B2UPR9,42
H2N0D4,B8I5V1,43
H2N0D4,Q0BVW4,44
H2N0D4,Q4FP52,45
H2N0D4,Q44233,46
H2N0D4,Q84I52,47
H2N0D4,Q2GAI1,48
H2N0D4,B3DXN2,49
H2N0D4,A7ICA9,50
O43280,P71741,1
O43280,Q03NE0,2
O43280,P53001,3
O43280,P77989,4
O43280,P48982,5
O43280,Q59750,6
O43280,Q60013,7
O43280,C0ZKI1,8
O43280,A7FH78,9
O43280,Q56307,10
O43280,P70753,11
O43280,A7MN76,12
O43280,P26257,13
O43280,Q9X0Y2,14
O43280,O52847,15
O43280,B4S2K9,16
O43280,Q9K9C6,17
O43280,O33815,18
O43280,Q03WL0,19
O43280,Q59140,20
O43280,P23989,21
O43280,C7ASJ5,22
O43280,Q1G9Z4,23
O43280,C7PDD8,24
O43280,O69315,25
O43280,P46547,26
O43280,O69689,27
O43280,Q2RL44,28
O43280,B7GHJ8,29
O43280,P60998,30
O43280,A8MEH2,31
O43280,O67802,32
O43280,P71505,33
O43280,Q6AQK2,34
O43280,Q4FP52,35
O43280,A7ICA9,36
O43280,Q67KI2,37
O43280,Q0BVW4,38
O43280,Q2GAI1,39
O43280,B2GBR8,40
O43280,Q72PG3,41
O43280,A1A2H6,42
O43280,B9DK21,43
O43280,A7HCR6,44
O43280,A0AK37,45
O43280,A4TKK4,46
O43280,B3DXN2,47
O43280,Q03VY3,48
O43280,B2UPR9,49
O43280,A5FR29,50
O62619,Q07637,1
O62619,B0B7Q0,2
O62619,Q46078,3
O62619,Q44473,4
O62619,Q46289,5
O62619,Q8K9M3,6
O62619,O51323,7
O62619,P78031,8
O62619,O05118,9
O62619,Q9WY51,10
O62619,P34038,11
O62619,A4QI77,12
O62619,Q9LAG8,13
O62619,Q8G691,14
O62619,Q7VTF0,15
O62619,Q5NPZ7,16
O62619,Q4FND0,17
O62619,Q39SS2,18
O62619,Q4FUL2,19
O62619,Q31HH3,20
O62619,Q7URN0,21
O62619,A8ZZW7,22
O62619,Q7TUC8,23
O62619,A1AXS3,24
O62619,Q3ABS4,25
O62619,Q82A81,26
O62619,A5IBF8,27
O62619,Q2S1Z2,28
O62619,Q67PJ3,29
O62619,Q8ECU9,30
O62619,A5IM24,31
O62619,P17166,32
O62619,Q01NI9,33
O62619,C4Z135,34
O62619,P16608,35
O62619,A6LU97,36
O62619,A5N7P1,37
O62619,B1ZT49,38
O62619,Q9RVT0,39
O62619,Q3B5F2,40
O62619,B0SDM7,41
O62619,A0RB65,42
O62619,O67502,43
O62619,A6TM77,44
O62619,Q7NHC5,45
O62619,A9KE95,46
O62619,Q8ESU5,47
O62619,Q7UPT7,48
O62619,P09924,49
O62619,Q89ZF2,50
O94584,P39823,1
O94584,Q9ZBM2,2
O94584,Q48269,3
O94584,O52351,4
O94584,Q9X1I9,5
O94584,P77964,6
O94584,P78283,7
O94584,P9WGN3,8
O94584,Q5SHQ8,9
O94584,O51451,10
O94584,P10250,11
O94584,P28539,12
O94584,Q1RHP1,13
O94584,O25879,14
O94584,O66491,15
O94584,A7ICA9,16
O94584,P27148,17
O94584,Q0BVW4,18
O94584,P16336,19
O94584,Q7UFS3,20
O94584,Q0C348,21
O94584,Q2RL44,22
O94584,Q2GAI1,23
O94584,A4TKK4,24
O94584,Q311Z4,25
O94584,O07131,26
O94584,Q28TL1,27
O94584,A1A2H6,28
O94584,Q8EFB2,29
O94584,B7GHJ8,30
O94584,Q4FP52,31
O94584,A0QHI1,32
O94584,P13227,33
O94584,Q6AQK2,34
O94584,Q5F8D4,35
O94584,Q6A8L4,36
O94584,Q72PG3,37
O94584,Q7VIJ3,38
O94584,A8FH24,39
O94584,B3DXN2,40
O94584,Q1IWN0,41
O94584,B8CW89,42
O94584,B1WY30,43
O94584,A8MEH2,44
O94584,Q8ET01,45
O94584,A0RCX4,46
O94584,Q02135,47
O94584,Q67LA5,48
O94584,A5FNH3,49
O94584,Q7UNC3,50
P00334,Q43914,1
P00334,P71505,2
P00334,O67802,3
P00334,P73163,4
P00334,O31186,5
P00334,Q1MS15,6
P00334,O84737,7
P00334,A7ICA9,8
P00334,Q0BVW4,9
P00334,A1AWF3,10
P00334,B8D7Y8,11
P00334,A9KC67,12
P00334,Q2GAI1,13
P00334,Q2RL44,14
P00334,Q8ELL1,15
P00334,Q6MCT6,16
P00334,B1MYJ5,17
P00334,Q0C348,18
P00334,Q7VRI2,19
P00334,P61720,20
P00334,B2UPR9,21
P00334,A5FNH3,22
P00334,B2FNL3,23
P00334,Q3MCG0,24
P00334,Q83FM6,25
P00334,A8MEH2,26
P00334,Q03NE0,27
P00334,Q7UGV1,28
P00334,A0RQJ7,29
P00334,O07131,30
P00334,A2SK12,31
P00334,Q28TL1,32
P00334,C1A8F6,33
P00334,Q53107,34
P00334,P61728,35
P00334,O31219,36
P00334,A9I6G5,37
P00334,Q4FP52,38
P00334,P41394,39
P00334,A0AK37,40
P00334,B9K7K0,41
P00334,Q03PZ7,42
P00334,A7HCR6,43
P00334,Q6A6Y6,44
P00334,B7GHJ8,45
P00334,P49420,46
P00334,P37144,47
P00334,A1A2H6,48
P00334,Q47QZ8,49
P00334,P19582,50
P04385,Q9KDV4,1
P04385,Q9R7D7,2
P04385,P39574,3
P04385,B4F0A6,4
P04385,P13227,5
P04385,A5UZX0,6
P04385,Q896X8,7
P04385,B7IDE2,8
P04385,A1KG98,9
P04385,Q9KWG3,10
P04385,A0RQZ6,11
P04385,Q7VHF4,12
P04385,Q7MNR4,13
P04385,A8FH24,14
P04385,B1HYT4,15
P04385,A5IJN0,16
P04385,C0QQC5,17
P04385,B8CW89,18
