query_id,corpus_id,rank
A0A482D308,Q6KHF9,1
A0A482D308,Q8D1V0,2
A0A482D308,Q7V342,3
A0A482D308,Q057B2,4
A0A482D308,A8MFK5,5
A0A482D308,P75423,6
A0A482D308,O51768,7
A0A482D308,Q4FND9,8
A0A482D308,A0PXP5,9
A0A482D308,Q8R601,10
A0A482D308,B1AJ79,11
A0A482D308,Q8XI68,12
A0A482D308,Q9X1X1,13
A0A482D308,O67066,14
A0A482D308,Q8D2X9,15
A0A482D308,Q6KH97,16
A0A482D308,Q8REH4,17
A0A482D308,B9E1H0,18
A0A482D308,Q4FLK0,19
A0A482D308,Q7NBC4,20
A0A482D308,Q8D265,21
A0A482D308,P39823,22
A0A482D308,Q8EUD0,23
A0A482D308,P47437,24
A0A482D308,Q8EX28,25
A0A482D308,B8D124,26
A0A482D308,B1VAE6,27
A0A482D308,B7J192,28
A0A482D308,B5YDE1,29
A0A482D308,C0QVZ8,30
A0A482D308,A9KJJ2,31
A0A482D308,Q6KIG6,32
A0A482D308,C4KZ66,33
A0A482D308,B4U752,34
A0A482D308,A9BHQ5,35
A0A482D308,O51132,36
A0A482D308,A8FKD6,37
A0A482D308,Q1D767,38
A0A482D308,B1AIY7,39
A0A482D308,P57779,40
A0A482D308,B5YDT0,41
A0A482D308,P59057,42
A0A482D308,A7ZEJ3,43
A0A482D308,O51413,44
A0A482D308,Q898L3,45
A0A482D308,Q2SS99,46
A0A482D308,Q89AR5,47
A0A482D308,B8CW13,48
A0A482D308,Q6KI35,49
A0A482D308,Q9PMR0,50
A3MTK6,Q67NS7,1
A3MTK6,A1W068,2
A3MTK6,B5YG45,3
A3MTK6,C0QQA0,4
A3MTK6,C4XLZ1,5
A3MTK6,Q7UWB8,6
A3MTK6,B5YDX5,7
A3MTK6,Q6MJ30,8
A3MTK6,A5FRZ4,9
A3MTK6,B7J0P3,10
A3MTK6,Q834X9,11
A3MTK6,A3PF36,12
A3MTK6,B5YG39,13
A3MTK6,B2S0J9,14
A3MTK6,Q9PMR0,15
A3MTK6,B8GZ28,16
A3MTK6,C1ARF7,17
A3MTK6,Q47AF6,18
A3MTK6,Q1ILG3,19
A3MTK6,Q8RI59,20
A3MTK6,A0A0F6AK91,21
A3MTK6,Q5HP79,22
A3MTK6,Q1GU89,23
A3MTK6,Q4FP13,24
A3MTK6,Q9X1X1,25
A3MTK6,B5YL10,26
A3MTK6,Q2RRV2,27
A3MTK6,A8Z665,28
A3MTK6,Q6MDC8,29
A3MTK6,A5F8G9,30
A3MTK6,B9KXJ4,31
A3MTK6,B1H0J3,32
A3MTK6,Q3A4N8,33
A3MTK6,A8MH15,34
A3MTK6,Q87T80,35
A3MTK6,Q2JHU3,36
A3MTK6,Q9Z6L2,37
A3MTK6,Q67K79,38
A3MTK6,Q7VBX6,39
A3MTK6,A6Q7I8,40
A3MTK6,A7NFV2,41
A3MTK6,O83362,42
A3MTK6,A8MH14,43
A3MTK6,C0R5H4,44
A3MTK6,Q2RMW0,45
A3MTK6,P56690,46
A3MTK6,Q8D210,47
A3MTK6,A0LV84,48
A3MTK6,Q7NI42,49
A3MTK6,Q0SWM0,50
D4GTL3,Q9KSC2,1
D4GTL3,Q6AHC2,2
D4GTL3,Q02AL5,3
D4GTL3,A9WEH7,4
D4GTL3,Q9AF21,5
D4GTL3,Q2P334,6
D4GTL3,Q2S2B6,7
D4GTL3,Q7UP05,8
D4GTL3,P83453,9
D4GTL3,Q7W7C7,10
D4GTL3,P05378,11
D4GTL3,B8CZG9,12
D4GTL3,Q67KJ1,13
D4GTL3,Q30WE0,14
D4GTL3,O66880,15
D4GTL3,Q1IHA5,16
D4GTL3,B1I544,17
D4GTL3,Q67PJ5,18
D4GTL3,Q9K9E6,19
D4GTL3,A6VCN1,20
D4GTL3,A3M3F3,21
D4GTL3,B2IHX3,22
D4GTL3,Q04H28,23
D4GTL3,A2RNW2,24
D4GTL3,Q7NG51,25
D4GTL3,Q609I3,26
D4GTL3,A0M590,27
D4GTL3,B0T1N5,28
D4GTL3,Q1LKN9,29
D4GTL3,Q67SB4,30
D4GTL3,O06401,31
D4GTL3,Q9KF46,32
D4GTL3,A8M783,33
D4GTL3,Q2S4S9,34
D4GTL3,Q6AR64,35
D4GTL3,Q98KC4,36
D4GTL3,Q2ST16,37
D4GTL3,A5URX3,38
D4GTL3,P46831,39
D4GTL3,Q0S2P9,40
D4GTL3,Q5FU70,41
D4GTL3,O51934,42
D4GTL3,Q2IMF3,43
D4GTL3,B0TEJ8,44
D4GTL3,Q2S4L6,45
D4GTL3,Q3J4Z8,46
D4GTL3,Q2S1B9,47
D4GTL3,C1A4M2,48
D4GTL3,Q7NEG2,49
D4GTL3,P9WFC1,50
D4GYE0,Q5SGY0,1
D4GYE0,Q8KBS6,2
D4GYE0,A7NGU9,3
D4GYE0,Q2JRC6,4
D4GYE0,Q9RWB2,5
D4GYE0,B3DQE2,6
D4GYE0,B1Y6D4,7
D4GYE0,Q2S1L8,8
D4GYE0,Q5YY83,9
D4GYE0,Q88U22,10
D4GYE0,B4S4T8,11
D4GYE0,Q5LND3,12
D4GYE0,Q2S4D2,13
D4GYE0,Q1D568,14
D4GYE0,Q83G27,15
D4GYE0,B1VZR5,16
D4GYE0,Q05FJ9,17
D4GYE0,C1F924,18
D4GYE0,P37283,19
D4GYE0,Q55039,20
D4GYE0,B0UBZ5,21
D4GYE0,A1IQR7,22
D4GYE0,Q88Z64,23
D4GYE0,Q02A54,24
D4GYE0,Q6AFK7,25
D4GYE0,Q24SU9,26
D4GYE0,A8LAZ9,27
