query_id,corpus_id,rank
E2RU81,O83553,1
E2RU81,B9KYV8,2
E2RU81,Q7VRS2,3
E2RU81,C0ZIF7,4
E2RU81,C4ZBJ4,5
E2RU81,Q67KI2,6
E2RU81,B8H5P6,7
E2RU81,E8N877,8
E2RU81,Q6MLI2,9
E2RU81,A9KJI6,10
E2RU81,Q9WYC5,11
E2RU81,P62459,12
E2RU81,Q67PJ5,13
E2RU81,Q2RWE2,14
E2RU81,Q2GFP0,15
E2RU81,Q2JV16,16
E2RU81,Q7UXH9,17
E2RU81,P29363,18
E2RU81,B0SDM9,19
E2RU81,C5C9S6,20
E2RU81,Q4JSV3,21
E2RU81,P46547,22
E2RU81,Q2GE99,23
E2RU81,Q7UP75,24
E2RU81,Q30S93,25
E2RU81,B3E7F7,26
E2RU81,Q8FRR3,27
E2RU81,Q5HUR2,28
E2RU81,Q1IHW2,29
E2RU81,Q1IS76,30
E2RU81,Q7NBB7,31
E2RU81,A7H590,32
E2RU81,Q04PU6,33
E2RU81,Q0BQI7,34
E2RU81,Q6LQ73,35
E2RU81,C5CB93,36
E2RU81,Q9KWG3,37
E2RU81,Q7UX39,38
E2RU81,Q5P7T1,39
E2RU81,Q0RBM4,40
E2RU81,Q9CHW3,41
E2RU81,Q4UMX8,42
E2RU81,A2RKV6,43
E2RU81,B2I6K9,44
E2RU81,A2BPZ0,45
E2RU81,Q2GCI4,46
E2RU81,A1VYF1,47
E2RU81,A7I2W3,48
E2RU81,A1K9I4,49
E2RU81,B2A8C9,50
H2N0D4,B8ZU62,1
H2N0D4,B8DM45,2
H2N0D4,Q1LS94,3
H2N0D4,Q2RMV4,4
H2N0D4,B2S3N6,5
H2N0D4,P06559,6
H2N0D4,A5CNH4,7
H2N0D4,A1UZL8,8
H2N0D4,A5WFZ6,9
H2N0D4,Q04HC3,10
H2N0D4,A1VEB4,11
H2N0D4,A0Q5D7,12
H2N0D4,O66747,13
H2N0D4,A1B1H5,14
H2N0D4,Q8KFL5,15
H2N0D4,Q1ISC2,16
H2N0D4,B1ZUW6,17
H2N0D4,A5GSL0,18
H2N0D4,Q1AS30,19
H2N0D4,P54122,20
H2N0D4,Q67QF2,21
H2N0D4,Q9KWG3,22
H2N0D4,A1R0L0,23
H2N0D4,Q59212,24
H2N0D4,O52951,25
H2N0D4,B2SQP2,26
H2N0D4,Q5QV03,27
H2N0D4,A9KJG7,28
H2N0D4,B5YG46,29
H2N0D4,Q2J545,30
H2N0D4,P59603,31
H2N0D4,O07896,32
H2N0D4,B8FA39,33
H2N0D4,Q7U6T0,34
H2N0D4,A9G5S0,35
H2N0D4,A9GXK1,36
H2N0D4,A1U2M9,37
H2N0D4,Q92ZT0,38
H2N0D4,B1HUK4,39
H2N0D4,Q8EUD0,40
H2N0D4,P44704,41
H2N0D4,P74910,42
H2N0D4,Q7NDF6,43
H2N0D4,Q1GUM2,44
H2N0D4,Q06734,45
H2N0D4,Q44473,46
H2N0D4,Q110C4,47
H2N0D4,B2FLR2,48
H2N0D4,B2UMT8,49
H2N0D4,Q2IJB3,50
O43280,B4S2K9,1
O43280,Q7M8Y8,2
O43280,Q2YBS1,3
O43280,Q5F8D4,4
O43280,Q5WZJ4,5
O43280,Q5SKL7,6
O43280,A0KFV4,7
O43280,B3CN34,8
O43280,Q7VHV4,9
O43280,Q0I6G6,10
O43280,Q3ABT5,11
O43280,Q2IG40,12
O43280,A9G5S0,13
O43280,O50519,14
O43280,Q1ASN4,15
O43280,B1ZUW6,16
O43280,Q1J0A0,17
O43280,O88011,18
O43280,B0S9I4,19
O43280,P59621,20
O43280,C4XPF2,21
O43280,B4U6T9,22
O43280,P85207,23
O43280,Q6YR34,24
O43280,Q5L6W7,25
O43280,P35868,26
O43280,Q9Z9F6,27
O43280,Q8EUV2,28
O43280,P0DJF8,29
O43280,Q5L589,30
O43280,A0QJI1,31
O43280,Q6AGD6,32
O43280,Q2LQU3,33
O43280,Q59140,34
O43280,Q8RHB4,35
O43280,Q1AS30,36
O43280,Q03YQ2,37
O43280,Q1AWA6,38
O43280,A3MA94,39
O43280,Q7P206,40
O43280,A2CCL7,41
O43280,Q8FW50,42
O43280,Q9RUP8,43
O43280,Q7VQH3,44
O43280,Q4FQ66,45
O43280,B0RXM6,46
O43280,Q72MG8,47
O43280,Q67KI2,48
O43280,A3M2I8,49
O43280,Q8DL38,50
O62619,B0B7Q0,1
O62619,P34038,2
O62619,Q07637,3
O62619,Q46078,4
O62619,O05118,5
O62619,Q46289,6
O62619,O51323,7
O62619,Q44473,8
O62619,Q9WY51,9
O62619,Q8K9M3,10
O62619,P78031,11
O62619,P61698,12
O62619,B8HNJ7,13
O62619,Q0VSA8,14
O62619,Q0VPI8,15
O62619,Q9LAG8,16
O62619,Q5SGY0,17
O62619,Q021N5,18
O62619,A9FRF5,19
O62619,Q98PL5,20
O62619,Q5WDW4,21
O62619,Q04C04,22
O62619,B5RRM3,23
O62619,P47357,24
