task,query_id,corpus_id,pident,evalue,bitscore
arch,A0A0S1X9S7,B1YI19,24.554,0.002,37.7
arch,A0A0S1X9S7,C5D3E0,20.5,0.018,35.0
arch,A0A0S1X9S7,Q8KCK9,23.977,0.061,33.1
arch,A0A0S1X9S7,A5N6A8,30.0,1.4,28.9
arch,A0A0S1X9S7,B0S101,30.12,1.6,28.9
arch,A0A0S1X9S7,Q9Z6M3,20.765,1.9,28.5
arch,A0A0S1X9S7,A5VM87,28.333,2.1,28.5
arch,A0A0S1X9S7,B5YE18,23.214,2.1,28.5
arch,A0A0S1X9S7,B0K924,23.232,2.3,28.1
arch,A0A0S1X9S7,Q4JVG1,40.541,2.3,27.7
arch,A0A0S1X9S7,Q8EQB7,22.222,2.5,28.1
arch,A0A0S1X9S7,Q9Z6T7,26.0,2.6,28.1
arch,A0A0S1X9S7,A1BDG7,31.148,3.9,27.3
arch,A0A0S1X9S7,A7N3R7,26.087,3.9,27.3
arch,A0A0S1X9S7,Q03H60,52.0,4.6,27.3
arch,A0A0S1X9S7,Q83GD7,19.816,5.4,26.9
arch,A0A0S1X9S7,A8ML82,41.667,5.8,26.9
arch,A0A0S1X9S7,Q2S4T0,62.5,6.6,26.6
arch,A0A0S1X9S7,A0AK39,21.466,7.6,26.6
arch,A0A0S1X9S7,Q67NP4,30.0,9.1,26.2
arch,A0A482D308,P0DW62,30.104,1.27e-32,128.0
arch,A0A482D308,A0A2U3D0N8,25.607,3.39e-32,126.0
arch,A0A482D308,A5D369,22.951,0.57,30.4
arch,A0A482D308,Q55794,24.0,0.92,30.0
arch,A0A482D308,B1GZT3,37.778,1.3,29.6
arch,A0A482D308,B1ZUW6,22.872,2.0,28.9
arch,A0A482D308,Q7MAH6,26.554,2.5,28.9
arch,A0A482D308,P59057,33.824,4.7,28.1
arch,A0A482D308,B1I544,30.909,9.2,26.9
arch,A0A482D308,O83409,48.276,9.2,26.9
arch,A0A482D308,Q639M6,29.825,9.8,26.6
arch,A0B532,Q2Y720,43.824,1.01e-83,255.0
arch,A0B532,O66884,39.429,3.96e-77,238.0
arch,A0B532,Q609M1,39.66,3.62e-71,223.0
arch,A0B532,B7KCF3,37.5,1.7900000000000002e-64,206.0
arch,A0B532,Q1IS76,38.973,4.5700000000000003e-57,186.0
arch,A0B532,B4TKU5,34.402,3.12e-50,169.0
arch,A0B532,Q87D69,53.846,2.7,27.7
arch,A0B532,A5EXM4,42.5,4.1,26.9
arch,A0B532,Q6AB89,32.308,5.4,26.9
arch,A0B532,A7HDG7,34.783,9.6,25.8
arch,A0B571,B0C8Q6,47.126,4.44e-24,85.5
arch,A0B571,Q3A2F4,50.685,2.45e-20,75.9
arch,A0B571,Q73PK2,41.176,4.27e-18,70.1
arch,A0B571,Q1AXW6,55.882,4.53e-17,68.2
arch,A0B571,A5FQM9,41.379,1.44e-16,66.2
arch,A0B571,Q2RJ59,41.25,2.64e-16,65.9
arch,A0B571,Q135C2,40.659,3.04e-16,65.9
arch,A0B571,Q8KG42,38.372,7.02e-16,64.7
arch,A0B571,A8FAY5,38.272,1.04e-15,63.9
arch,A0B571,A9KH12,37.647,1.05e-15,64.3
arch,A0B571,A1SWQ8,38.272,1.14e-15,63.9
arch,A0B571,Q3AYW4,37.805,1.27e-15,64.7
arch,A0B571,Q1D0P6,40.26,5.42e-15,62.4
arch,A0B571,A1SPV1,41.558,5.6e-15,62.4
arch,A0B571,Q0VPA8,45.07,7.29e-15,62.0
arch,A0B571,A5GS00,40.964,9.33e-15,62.4
arch,A0B571,Q8ELH4,40.0,1.35e-14,61.2
arch,A0B571,A6T769,40.659,1.96e-14,60.8
arch,A0B571,Q72ML5,38.462,2.35e-14,60.8
arch,A0B571,Q21YG7,40.26,2.41e-14,60.8
arch,A0B571,Q39S27,36.559,3.39e-14,60.5
arch,A0B571,Q8G4T0,41.429,3.9e-14,60.5
arch,A0B571,Q88WR7,37.209,3.92e-14,60.1
arch,A0B571,O35031,33.721,7.22e-14,59.3
arch,A0B571,Q2SDN9,40.0,9.74e-14,59.3
arch,A0B571,Q1IKJ2,38.889,2.14e-13,58.5
arch,A0B571,A5G1Y9,43.077,2.19e-13,58.2
arch,A0B571,A1KAG5,38.889,3.07e-13,58.2
arch,A0B571,A0KKF3,47.059,4.82e-13,57.4
arch,A0B571,Q92TK9,43.077,5.73e-13,57.4
arch,A0B571,Q5E4P9,33.75,5.8e-13,57.0
arch,A0B571,A5VFP2,36.0,6.36e-13,57.4
arch,A0B571,A1VW83,36.111,6.66e-13,57.4
arch,A0B571,A8I5S8,40.506,7.74e-13,57.0
arch,A0B571,A8F4E8,33.735,1.2e-12,56.2
arch,A0B571,A9BHQ1,32.955,1.35e-12,56.2
arch,A0B571,A4IKB1,35.632,2.88e-12,55.5
arch,A0B571,Q1WUK1,31.395,6.18e-12,54.3
arch,A0B571,Q482P4,31.818,7.42e-12,54.3
arch,A0B571,Q0SL54,31.395,7.63e-12,54.3
arch,A0B571,Q03RM5,35.294,9.85e-12,53.9
arch,A0B571,A5ID38,37.681,1.27e-11,53.5
arch,A0B571,Q2S0V7,38.028,1.31e-11,53.9
arch,A0B571,A0LV84,46.97,1.7e-11,53.9
arch,A0B571,A3MYL5,31.646,4.74e-11,52.4
arch,A0B571,A1S579,34.118,7.81e-11,51.6
arch,A0B571,Q30YK6,54.762,2.02e-10,50.1
arch,A0B571,A5F8G9,40.299,2.49e-10,50.4
arch,A0B571,Q21FZ9,34.884,3.87e-10,49.7
arch,A0B571,A1VEL6,40.351,7.16e-10,49.3
arch,A0B5C6,B3QMT1,37.354,8.13e-51,165.0
arch,A0B5C6,B0C7S1,38.767,2.0499999999999998e-48,158.0
